Carimbo de data/hora,"""Um pouco ruim""","""Extremamente bom""","""Nem um pouco bom""","""Medíocre""","""Muito ruim""","""Pouco bom""","""Extremamente medíocre""","""Muito bom""","""Bom""","""Um pouco medíocre""","""Extremamente Ruim""","""Muito medíocre""","""Ruim""","""Nem um pouco ruim""","""Nem um pouco medíocre"""
18/12/2023 17:48:30,3,10,3,5,1,6,2,8,7,5,0,3,3,5,5
18/12/2023 17:56:28,4,9,2,3,1,6,2,8,7,5,0,2,3,5,5
18/12/2023 17:57:15,3,10,2,3,0,6,0,9,7,4,0,2,1,6,8
18/12/2023 17:57:38,3,10,1,5,0,6,5,8,7,5,0,5,2,7,8
18/12/2023 17:58:05,4,10,1,3,2,6,2,9,8,3,0,1,1,5,5
18/12/2023 18:02:07,6,8,3,1,2,4,0,7,6,1,0,0,2,8,9
18/12/2023 18:02:34,3,9,2,5,1,5,0,7,6,4,0,1,2,6,6
18/12/2023 18:05:08,4,7,3,2,3,4,0,7,6,4,2,1,4,7,7
18/12/2023 18:06:53,4,10,2,5,1,6,5,9,7,6,0,5,2,6,7
18/12/2023 18:10:04,4,10,1,0,0,6,0,8,7,3,1,0,4,6,6
18/12/2023 18:16:52,4,10,3,5,2,6,4,8,7,6,0,5,4,8,7
18/12/2023 18:20:58,3,10,2,4,1,6,3,10,8,5,0,2,2,5,7
18/12/2023 18:23:25,3,10,1,4,1,6,3,8,7,5,0,3,2,8,9
18/12/2023 18:29:41,3,10,0,5,2,3,5,8,6,4,0,5,2,9,8
18/12/2023 18:48:19,10,10,7,10,10,7,0,10,10,4,8,3,10,10,8
18/12/2023 19:21:48,3,10,1,0,0,6,0,8,7,1,0,0,3,5,5
18/12/2023 19:24:05,9,7,6,10,10,6,2,10,9,4,10,2,10,2,3
18/12/2023 20:22:39,4,10,5,5,0,6,3,8,7,5,0,5,2,4,6
18/12/2023 21:26:39,3,10,1,4,0,6,3,8,7,5,0,4,2,9,9
18/12/2023 22:31:44,2,10,0,5,2,6,5,9,8,5,0,5,2,10,0
19/12/2023 10:30:18,3,9,2,5,1,6,4,8,7,4,0,5,2,6,6